name,size,obs,boxes
000017.jpg,"[791, 600, 3]","[1, 6]","[[305, 102, 460, 328], [148, 129, 664, 554]]"
000018.jpg,"[800, 600, 3]",[5],"[[65, 63, 754, 587]]"
000019.jpg,"[800, 600, 3]","[3, 3]","[[370, 141, 773, 410], [18, 181, 426, 414]]"
000020.jpg,"[600, 800, 3]",[12],"[[53, 237, 594, 666]]"
000021.jpg,"[600, 893, 3]","[5, 1, 1, 1]","[[2, 420, 325, 693], [375, 64, 600, 861], [82, 146, 304, 652], [20, 323, 254, 748]]"
000022.jpg,"[904, 600, 3]","[6, 1]","[[123, 186, 665, 511], [336, 80, 461, 416]]"
000023.jpg,"[600, 898, 3]","[9, 9, 9, 1, 1, 1]","[[16, 413, 440, 898], [413, 395, 600, 898], [4, 320, 162, 898], [4, 2, 210, 663], [5, 4, 437, 830], [404, 2, 600, 873]]"
000024.jpg,"[896, 600, 3]",[14],"[[351, 296, 876, 442]]"
000025.jpg,"[800, 600, 3]","[4, 4, 4, 1, 1, 1, 4, 1, 1, 1, 1]","[[3, 134, 94, 397], [109, 184, 373, 446], [102, 277, 603, 597], [512, 3, 794, 600], [354, 6, 546, 598], [216, 22, 352, 237], [110, 69, 250, 283], [93, 86, 166, 222], [446, 2, 530, 138], [512, 35, 550, 154], [539, 2, 624, 171]]"
000026.jpg,"[901, 600, 3]",[12],"[[162, 225, 607, 382]]"
000027.jpg,"[600, 617, 3]",[1],"[[215, 125, 431, 433]]"
000028.jpg,"[600, 800, 3]",[3],"[[101, 29, 598, 800]]"
000029.jpg,"[906, 600, 3]",[5],"[[102, 114, 515, 526]]"
000030.jpg,"[800, 600, 3]","[9, 1, 1]","[[58, 328, 288, 462], [82, 256, 240, 467], [472, 221, 720, 464]]"
000031.jpg,"[896, 600, 3]",[14],"[[73, 138, 770, 457]]"
000032.jpg,"[1068, 600, 3]","[8, 8, 1, 1]","[[222, 167, 801, 391], [284, 188, 421, 263], [416, 384, 455, 489], [56, 404, 94, 508]]"
000033.jpg,"[820, 600, 3]","[8, 8, 8]","[[15, 175, 818, 431], [690, 328, 790, 370], [533, 308, 674, 366]]"
000034.jpg,"[600, 833, 3]","[14, 14]","[[193, 278, 600, 667], [235, 255, 555, 382]]"
000035.jpg,"[800, 600, 3]","[1, 1, 1, 17]","[[2, 154, 306, 578], [349, 157, 744, 509], [749, 312, 800, 507], [5, 486, 800, 600]]"
000036.jpg,"[600, 904, 3]",[5],"[[49, 143, 577, 622]]"
000037.jpg,"[800, 600, 3]",[5],"[[98, 154, 742, 542]]"
000038.jpg,"[800, 600, 3]","[9, 13, 1]","[[254, 285, 446, 394], [2, 376, 69, 504], [307, 178, 418, 384]]"
000039.jpg,"[800, 600, 3]",[20],"[[250, 142, 550, 446]]"
000040.jpg,"[904, 600, 3]",[2],"[[2, 94, 694, 524]]"
000041.jpg,"[901, 600, 3]","[20, 1, 1]","[[654, 85, 778, 193], [389, 166, 553, 544], [295, 267, 409, 440]]"
000042.jpg,"[896, 600, 3]","[14, 14]","[[471, 57, 896, 528], [2, 64, 421, 536]]"
000043.jpg,"[600, 901, 3]","[1, 1, 1]","[[314, 413, 584, 676], [9, 261, 450, 901], [34, 11, 582, 901]]"
000044.jpg,"[901, 600, 3]","[16, 3]","[[2, 2, 667, 595], [178, 182, 562, 384]]"
000045.jpg,"[800, 600, 3]",[20],"[[448, 102, 773, 403]]"
000046.jpg,"[600, 904, 3]",[2],"[[381, 423, 573, 661]]"
000047.jpg,"[901, 600, 3]","[12, 16]","[[27, 2, 827, 562], [791, 306, 877, 414]]"
000048.jpg,"[600, 800, 3]","[2, 1]","[[93, 171, 466, 744], [3, 2, 483, 800]]"
000049.jpg,"[843, 600, 3]",[3],"[[300, 221, 600, 383]]"
000050.jpg,"[800, 600, 3]","[16, 16, 15, 15, 15, 15, 1, 1, 1, 1]","[[648, 245, 789, 408], [440, 206, 499, 272], [576, 307, 610, 424], [638, 290, 675, 376], [432, 288, 466, 395], [470, 282, 499, 386], [109, 154, 469, 600], [2, 114, 139, 531], [296, 109, 414, 315], [458, 102, 650, 381]]"
000051.jpg,"[800, 600, 3]","[13, 13, 1]","[[563, 221, 800, 600], [168, 2, 683, 392], [664, 98, 744, 312]]"
000052.jpg,"[901, 600, 3]","[18, 18, 18, 18, 18, 18]","[[746, 418, 825, 474], [524, 427, 600, 486], [330, 429, 409, 492], [94, 440, 178, 494], [112, 173, 193, 238], [332, 169, 405, 231]]"
000053.jpg,"[800, 600, 3]",[3],"[[58, 19, 680, 419]]"
000054.jpg,"[800, 600, 3]",[11],"[[38, 86, 755, 467]]"
000055.jpg,"[901, 600, 3]","[13, 1, 1, 1]","[[377, 238, 495, 400], [395, 193, 492, 337], [838, 492, 870, 584], [786, 503, 822, 589]]"
000056.jpg,"[898, 600, 3]",[6],"[[296, 108, 695, 600]]"
000057.jpg,"[800, 600, 3]",[2],"[[213, 85, 616, 573]]"
000058.jpg,"[800, 600, 3]","[1, 1, 1, 13]","[[534, 2, 698, 597], [314, 128, 494, 522], [446, 85, 534, 427], [46, 174, 574, 600]]"
000059.jpg,"[600, 800, 3]","[20, 20, 1, 1, 1, 16]","[[141, 258, 227, 330], [283, 216, 437, 320], [176, 336, 525, 800], [115, 435, 184, 570], [200, 438, 274, 565], [456, 635, 558, 800]]"
000060.jpg,"[898, 600, 3]","[12, 12, 12, 12, 12]","[[2, 246, 767, 598], [2, 111, 860, 422], [2, 49, 758, 253], [79, 13, 823, 241], [357, 11, 853, 176]]"
000061.jpg,"[901, 600, 3]","[10, 10]","[[494, 20, 787, 503], [332, 386, 506, 454]]"
000062.jpg,"[901, 600, 3]",[7],"[[105, 339, 488, 559]]"
000063.jpg,"[800, 600, 3]","[5, 16]","[[197, 184, 606, 440], [120, 2, 685, 600]]"
000064.jpg,"[600, 605, 3]",[2],"[[1, 28, 546, 605]]"
000065.jpg,"[896, 600, 3]",[5],"[[4, 186, 713, 598]]"
000066.jpg,"[800, 600, 3]","[1, 1, 1]","[[334, 299, 365, 368], [387, 291, 438, 414], [430, 301, 472, 414]]"
000067.jpg,"[1103, 600, 3]",[8],"[[97, 159, 993, 463]]"
000068.jpg,"[800, 600, 3]",[2],"[[43, 72, 426, 600]]"
000069.jpg,"[800, 600, 3]","[10, 1]","[[30, 102, 678, 304], [488, 248, 624, 600]]"
000070.jpg,"[800, 600, 3]","[18, 18]","[[573, 261, 605, 315], [501, 250, 573, 317]]"
000071.jpg,"[800, 600, 3]",[12],"[[98, 120, 709, 438]]"
000072.jpg,"[600, 901, 3]","[13, 13]","[[72, 128, 600, 852], [59, 76, 596, 245]]"
000073.jpg,"[600, 800, 3]","[18, 18, 10, 1]","[[194, 229, 600, 736], [3, 246, 102, 734], [432, 248, 600, 530], [35, 229, 234, 800]]"
000074.jpg,"[800, 600, 3]",[12],"[[93, 98, 760, 453]]"
000075.jpg,"[600, 904, 3]",[5],"[[184, 150, 401, 629]]"
000076.jpg,"[800, 600, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[101, 125, 424, 600], [411, 120, 717, 600], [579, 208, 714, 418], [755, 251, 800, 549], [731, 334, 765, 408], [702, 272, 733, 346], [395, 227, 461, 315], [70, 259, 134, 458], [123, 251, 192, 392], [2, 254, 42, 453], [38, 278, 72, 322]]"
000077.jpg,"[901, 600, 3]","[3, 3]","[[432, 2, 901, 600], [4, 2, 551, 600]]"
000078.jpg,"[716, 600, 3]","[5, 5]","[[21, 107, 680, 590], [135, 59, 626, 341]]"
000079.jpg,"[840, 600, 3]",[5],"[[2, 89, 655, 600]]"
000080.jpg,"[800, 600, 3]","[10, 10, 10, 10, 10, 10, 10, 10, 10]","[[704, 362, 728, 418], [637, 346, 674, 490], [491, 366, 512, 414], [394, 323, 430, 451], [299, 357, 334, 459], [298, 323, 336, 421], [112, 389, 178, 438], [2, 442, 61, 480], [19, 384, 53, 413]]"
000081.jpg,"[901, 600, 3]","[19, 19, 1, 1, 1, 1, 1, 1, 1]","[[423, 285, 832, 508], [14, 299, 396, 580], [357, 281, 614, 416], [629, 261, 813, 479], [110, 292, 306, 600], [52, 299, 132, 384], [537, 443, 780, 600], [353, 387, 598, 595], [486, 537, 584, 600]]"
000082.jpg,"[901, 600, 3]","[12, 12]","[[40, 168, 888, 537], [2, 2, 373, 159]]"
000083.jpg,"[901, 600, 3]","[12, 1, 1, 1, 1, 1]","[[196, 59, 805, 557], [685, 4, 784, 243], [249, 25, 348, 207], [2, 36, 135, 368], [108, 86, 205, 281], [58, 92, 150, 292]]"
000084.jpg,"[800, 600, 3]","[16, 16, 16, 16, 16, 19, 17]","[[542, 250, 624, 376], [466, 274, 554, 437], [358, 264, 421, 296], [227, 278, 309, 442], [371, 307, 466, 485], [2, 442, 222, 600], [250, 291, 531, 450]]"
000085.jpg,"[909, 600, 3]","[16, 17, 1, 1]","[[11, 189, 396, 505], [329, 318, 907, 598], [40, 127, 462, 595], [615, 22, 909, 362]]"
000086.jpg,"[901, 600, 3]","[5, 5, 5]","[[555, 236, 641, 312], [404, 258, 494, 328], [486, 225, 537, 276]]"
000087.jpg,"[600, 901, 3]",[14],"[[216, 299, 573, 368]]"
000088.jpg,"[800, 600, 3]",[14],"[[197, 11, 800, 584]]"
000089.jpg,"[802, 600, 3]","[1, 1, 1, 16]","[[32, 11, 294, 570], [157, 345, 688, 600], [533, 225, 730, 587], [35, 82, 509, 467]]"
000090.jpg,"[901, 600, 3]","[16, 1, 1]","[[348, 117, 623, 501], [59, 59, 553, 459], [252, 377, 750, 600]]"
000091.jpg,"[800, 600, 3]","[12, 12, 12]","[[200, 386, 312, 454], [130, 397, 168, 429], [146, 400, 202, 438]]"
000092.jpg,"[800, 600, 3]",[3],"[[3, 106, 661, 533]]"
000093.jpg,"[885, 600, 3]","[5, 16]","[[310, 221, 609, 450], [94, 5, 885, 598]]"
000094.jpg,"[901, 600, 3]","[13, 13]","[[29, 2, 901, 600], [2, 97, 259, 290]]"
000095.jpg,"[929, 600, 3]","[14, 14]","[[37, 97, 815, 529], [2, 232, 212, 435]]"
000096.jpg,"[600, 909, 3]","[1, 1]","[[4, 262, 320, 909], [255, 198, 600, 909]]"
000097.jpg,"[800, 600, 3]","[19, 16, 1]","[[93, 278, 432, 456], [2, 352, 250, 600], [333, 222, 427, 376]]"
000098.jpg,"[800, 600, 3]",[3],"[[153, 156, 704, 360]]"
000099.jpg,"[800, 600, 3]",[3],"[[6, 123, 512, 403]]"
000100.jpg,"[1012, 600, 3]",[14],"[[7, 110, 1012, 520]]"
000101.jpg,"[901, 600, 3]","[16, 1]","[[333, 105, 627, 335], [72, 115, 721, 600]]"
000102.jpg,"[800, 600, 3]","[19, 19]","[[666, 280, 800, 502], [194, 214, 563, 438]]"
000103.jpg,"[800, 600, 3]","[12, 12, 12, 12, 12, 12, 12, 12, 12]","[[2, 386, 75, 442], [42, 374, 136, 424], [157, 355, 229, 403], [293, 347, 325, 368], [322, 338, 341, 357], [256, 349, 286, 366], [88, 357, 149, 381], [46, 363, 98, 378], [2, 368, 48, 387]]"
000104.jpg,"[901, 600, 3]","[20, 1, 1]","[[726, 198, 901, 477], [524, 135, 796, 600], [4, 13, 510, 600]]"
000105.jpg,"[901, 600, 3]","[10, 1, 1]","[[40, 2, 577, 566], [364, 128, 532, 387], [306, 193, 431, 371]]"
000106.jpg,"[901, 600, 3]",[2],"[[326, 173, 663, 454]]"
000107.jpg,"[800, 600, 3]","[7, 4, 7]","[[754, 278, 800, 363], [474, 238, 534, 285], [387, 234, 414, 270]]"
000108.jpg,"[800, 600, 3]","[5, 5, 19]","[[501, 210, 800, 376], [2, 165, 488, 419], [2, 94, 800, 600]]"
000109.jpg,"[1181, 600, 3]",[2],"[[40, 28, 1139, 555]]"
000110.jpg,"[800, 600, 3]","[1, 1, 1]","[[126, 373, 176, 502], [86, 370, 138, 550], [50, 373, 80, 485]]"
000111.jpg,"[800, 600, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 9, 9, 9, 9, 9, 9, 9, 9, 16]","[[664, 432, 800, 600], [539, 291, 570, 330], [466, 283, 494, 323], [445, 296, 480, 339], [373, 282, 405, 323], [354, 294, 398, 346], [296, 299, 334, 342], [285, 283, 322, 320], [238, 298, 274, 341], [179, 298, 216, 355], [147, 317, 226, 363], [227, 330, 283, 355], [286, 328, 341, 355], [278, 307, 304, 334], [349, 328, 402, 346], [387, 315, 416, 336], [440, 323, 490, 346], [483, 317, 509, 334], [533, 307, 579, 336], [552, 368, 646, 445]]"
000112.jpg,"[600, 901, 3]","[5, 16]","[[126, 314, 499, 591], [517, 292, 569, 357]]"
000113.jpg,"[904, 600, 3]",[1],"[[501, 183, 640, 470]]"
000114.jpg,"[800, 600, 3]",[3],"[[253, 102, 691, 584]]"
000115.jpg,"[600, 800, 3]",[2],"[[2, 350, 395, 699]]"
000116.jpg,"[600, 800, 3]","[19, 16, 18, 18]","[[70, 302, 517, 574], [2, 296, 72, 483], [3, 155, 170, 437], [307, 154, 443, 323]]"
000117.jpg,"[901, 600, 3]",[8],"[[2, 76, 897, 512]]"
000118.jpg,"[800, 600, 3]",[3],"[[262, 155, 450, 600]]"
000119.jpg,"[800, 600, 3]",[3],"[[171, 154, 494, 557]]"
000120.jpg,"[750, 600, 3]",[5],"[[99, 182, 660, 414]]"
000121.jpg,"[800, 600, 3]","[20, 20]","[[402, 45, 760, 427], [35, 45, 402, 437]]"
000122.jpg,"[600, 606, 3]",[3],"[[45, 25, 543, 599]]"
000123.jpg,"[800, 600, 3]",[14],"[[2, 42, 573, 544]]"
000124.jpg,"[800, 600, 3]","[1, 1, 1, 18, 16]","[[3, 10, 166, 234], [368, 40, 512, 221], [125, 24, 765, 600], [112, 3, 363, 203], [670, 445, 800, 600]]"
000125.jpg,"[800, 600, 3]","[9, 1, 1, 1]","[[680, 349, 800, 440], [698, 301, 747, 357], [611, 334, 664, 435], [565, 341, 613, 442]]"
000126.jpg,"[1395, 600, 3]","[17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 1, 1, 1, 1]","[[1197, 491, 1393, 589], [218, 508, 723, 600], [812, 452, 1069, 539], [1041, 477, 1208, 597], [980, 460, 1041, 589], [1083, 435, 1167, 488], [882, 460, 993, 594], [823, 438, 865, 458], [784, 441, 862, 575], [765, 441, 787, 477], [723, 480, 812, 597], [656, 458, 726, 519], [703, 444, 742, 472], [486, 455, 580, 502], [327, 500, 500, 594], [271, 460, 360, 527], [343, 458, 374, 486], [237, 449, 262, 527], [148, 452, 220, 589], [1278, 380, 1381, 488], [131, 388, 215, 458], [103, 391, 142, 466], [33, 391, 103, 480]]"
000127.jpg,"[800, 600, 3]","[2, 2, 2, 2, 1]","[[541, 248, 683, 374], [499, 307, 653, 454], [381, 344, 546, 509], [277, 362, 370, 600], [109, 34, 594, 600]]"
000128.jpg,"[817, 600, 3]","[8, 1, 1, 1, 1, 1, 1, 1]","[[87, 191, 749, 378], [582, 384, 615, 469], [633, 334, 677, 476], [249, 338, 284, 412], [162, 332, 191, 399], [13, 337, 28, 433], [54, 345, 83, 433], [83, 358, 111, 433]]"
000129.jpg,"[600, 898, 3]","[9, 9, 9, 1, 1, 1]","[[126, 363, 458, 898], [451, 435, 600, 898], [2, 259, 120, 783], [2, 2, 119, 652], [133, 2, 489, 830], [453, 34, 600, 875]]"
000130.jpg,"[800, 600, 3]",[10],"[[6, 2, 800, 398]]"
000131.jpg,"[901, 600, 3]","[12, 1, 1]","[[2, 178, 856, 479], [223, 225, 310, 276], [332, 218, 407, 277]]"
000132.jpg,"[713, 600, 3]",[11],"[[61, 94, 398, 517]]"
000133.jpg,"[600, 671, 3]","[1, 6, 1, 6]","[[98, 24, 545, 671], [181, 305, 454, 671], [30, 1, 101, 136], [56, 78, 184, 140]]"
000134.jpg,"[809, 600, 3]",[12],"[[2, 186, 788, 534]]"
000135.jpg,"[800, 600, 3]",[12],"[[333, 310, 531, 414]]"
000136.jpg,"[800, 600, 3]","[3, 15]","[[530, 328, 651, 427], [570, 42, 598, 112]]"
000137.jpg,"[600, 901, 3]","[12, 1, 1]","[[173, 775, 295, 868], [240, 649, 256, 703], [220, 640, 243, 706]]"
000138.jpg,"[904, 600, 3]","[1, 1, 1, 1]","[[11, 101, 278, 515], [262, 105, 511, 466], [405, 98, 795, 600], [656, 173, 904, 600]]"
000139.jpg,"[898, 600, 3]","[9, 1, 1]","[[205, 223, 471, 494], [271, 93, 476, 375], [2, 311, 176, 600]]"
000140.jpg,"[748, 600, 3]","[5, 19]","[[160, 218, 578, 449], [3, 169, 748, 600]]"
000141.jpg,"[709, 600, 3]",[2],"[[35, 75, 593, 566]]"
000142.jpg,"[800, 600, 3]",[12],"[[42, 130, 744, 426]]"
000143.jpg,"[901, 600, 3]",[3],"[[306, 83, 901, 600]]"
000144.jpg,"[901, 600, 3]","[16, 17, 15, 15, 1, 1, 1, 1]","[[714, 418, 859, 595], [243, 344, 789, 600], [398, 346, 447, 497], [441, 281, 477, 387], [4, 180, 241, 600], [299, 119, 503, 348], [632, 5, 789, 548], [620, 14, 901, 600]]"
000145.jpg,"[867, 600, 3]","[14, 14]","[[90, 153, 659, 505], [714, 229, 848, 499]]"
000146.jpg,"[600, 802, 3]",[1],"[[249, 334, 404, 655]]"
000147.jpg,"[901, 600, 3]","[16, 16, 16, 16, 16, 16, 16]","[[59, 189, 117, 263], [139, 205, 205, 268], [263, 225, 315, 270], [409, 238, 445, 277], [544, 229, 589, 276], [672, 218, 724, 276], [784, 202, 838, 268]]"
000148.jpg,"[833, 600, 3]",[2],"[[218, 187, 775, 520]]"
000149.jpg,"[800, 600, 3]",[18],"[[182, 3, 562, 578]]"
000150.jpg,"[901, 600, 3]","[6, 1, 1, 1, 1]","[[335, 141, 575, 476], [636, 97, 683, 195], [748, 92, 786, 196], [858, 97, 886, 177], [881, 92, 901, 180]]"
000151.jpg,"[600, 800, 3]","[15, 1]","[[245, 218, 600, 422], [6, 78, 600, 704]]"
000152.jpg,"[901, 600, 3]","[12, 12, 12, 12]","[[108, 178, 222, 274], [744, 168, 901, 281], [557, 168, 759, 254], [209, 148, 730, 514]]"
000153.jpg,"[800, 600, 3]","[12, 12, 12, 12]","[[379, 235, 573, 306], [221, 90, 266, 112], [75, 182, 189, 200], [5, 174, 102, 195]]"
000154.jpg,"[901, 600, 3]","[10, 10]","[[106, 137, 661, 479], [795, 348, 825, 384]]"
000155.jpg,"[600, 833, 3]","[9, 9, 9, 1, 1, 1]","[[157, 85, 223, 207], [203, 267, 280, 425], [372, 480, 508, 698], [148, 12, 228, 148], [190, 200, 285, 347], [368, 417, 498, 598]]"
000156.jpg,"[800, 600, 3]","[19, 12, 12]","[[66, 117, 610, 563], [691, 165, 794, 230], [646, 182, 696, 229]]"
000157.jpg,"[902, 600, 3]","[3, 16]","[[298, 365, 853, 505], [77, 79, 902, 600]]"
000158.jpg,"[800, 600, 3]",[2],"[[314, 133, 427, 331]]"
000159.jpg,"[901, 600, 3]","[1, 12]","[[422, 86, 515, 223], [2, 29, 897, 600]]"
000160.jpg,"[800, 600, 3]",[19],"[[3, 387, 538, 597]]"
000161.jpg,"[769, 600, 3]","[12, 12]","[[160, 52, 686, 600], [105, 300, 186, 443]]"
000162.jpg,"[800, 600, 3]","[20, 1]","[[490, 363, 608, 478], [314, 229, 494, 590]]"
000163.jpg,"[694, 600, 3]","[1, 13]","[[72, 31, 428, 456], [36, 150, 633, 550]]"
000164.jpg,"[800, 600, 3]","[13, 1]","[[182, 246, 590, 557], [467, 78, 714, 592]]"
000165.jpg,"[777, 600, 3]",[1],"[[138, 84, 777, 600]]"
000166.jpg,"[800, 600, 3]","[1, 1, 1, 1, 1, 6]","[[518, 272, 566, 456], [389, 288, 467, 363], [3, 272, 35, 426], [42, 285, 75, 368], [107, 182, 256, 381], [77, 261, 366, 534]]"
000167.jpg,"[802, 600, 3]",[5],"[[43, 29, 767, 600]]"
000168.jpg,"[600, 906, 3]","[1, 6]","[[136, 192, 421, 574], [196, 232, 379, 889]]"
000169.jpg,"[901, 600, 3]","[12, 1, 12, 1, 1, 12]","[[41, 50, 865, 512], [184, 5, 290, 90], [791, 41, 901, 321], [755, 70, 800, 146], [818, 65, 877, 128], [22, 83, 187, 238]]"
000170.jpg,"[800, 600, 3]","[15, 15, 15, 15, 1, 1]","[[139, 160, 174, 264], [66, 182, 117, 290], [518, 237, 563, 330], [682, 251, 709, 312], [5, 146, 69, 330], [6, 45, 738, 595]]"
000171.jpg,"[600, 800, 3]","[5, 1]","[[2, 464, 205, 651], [150, 34, 600, 786]]"
000172.jpg,"[800, 600, 3]",[12],"[[46, 86, 730, 514]]"
000173.jpg,"[600, 731, 3]","[1, 6]","[[161, 97, 411, 452], [166, 97, 439, 707]]"
000174.jpg,"[901, 600, 3]",[1],"[[258, 9, 768, 600]]"
000175.jpg,"[904, 600, 3]",[7],"[[45, 61, 757, 490]]"
000176.jpg,"[600, 903, 3]","[7, 7, 7, 7]","[[77, 254, 278, 542], [329, 286, 540, 534], [540, 406, 600, 521], [4, 391, 156, 523]]"
000177.jpg,"[800, 600, 3]","[17, 1, 1, 1, 1, 1, 1, 1, 1]","[[94, 243, 738, 600], [550, 240, 800, 600], [514, 136, 730, 579], [486, 147, 626, 334], [448, 141, 539, 275], [261, 107, 418, 261], [200, 150, 262, 266], [120, 139, 253, 370], [2, 179, 155, 600]]"
000178.jpg,"[800, 600, 3]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 1, 1, 1, 1, 1]","[[384, 136, 461, 406], [570, 115, 635, 346], [530, 96, 579, 266], [483, 112, 536, 253], [446, 90, 496, 259], [267, 104, 326, 288], [323, 131, 402, 390], [171, 120, 222, 214], [213, 118, 250, 181], [2, 2, 163, 346], [128, 3, 325, 192], [608, 6, 800, 336], [336, 5, 562, 147], [536, 2, 630, 171]]"
000179.jpg,"[600, 800, 3]","[10, 10, 10, 10, 10]","[[430, 672, 586, 747], [136, 46, 482, 789], [2, 720, 74, 758], [2, 670, 123, 744], [354, 659, 394, 731]]"
000180.jpg,"[800, 600, 3]",[12],"[[22, 176, 794, 570]]"
000181.jpg,"[800, 600, 3]","[1, 16, 19, 1, 1, 1]","[[414, 254, 656, 459], [341, 280, 558, 502], [2, 238, 477, 600], [194, 246, 486, 590], [27, 206, 443, 600], [2, 389, 302, 600]]"
000182.jpg,"[800, 600, 3]","[19, 1]","[[8, 6, 800, 597], [182, 80, 520, 595]]"
000183.jpg,"[800, 600, 3]",[5],"[[123, 3, 800, 541]]"
000184.jpg,"[800, 600, 3]","[10, 10, 10, 10]","[[462, 170, 541, 307], [600, 230, 645, 301], [733, 246, 768, 304], [3, 2, 499, 600]]"
000185.jpg,"[600, 668, 3]","[1, 16, 20]","[[319, 319, 452, 505], [374, 388, 462, 521], [339, 313, 400, 386]]"
000186.jpg,"[804, 600, 3]",[2],"[[93, 79, 457, 582]]"
000187.jpg,"[800, 600, 3]",[20],"[[2, 152, 384, 538]]"
000188.jpg,"[1136, 600, 3]","[11, 1, 12, 12]","[[202, 200, 1136, 455], [66, 248, 155, 489], [923, 332, 1136, 491], [2, 318, 316, 459]]"
000189.jpg,"[800, 600, 3]",[2],"[[104, 62, 734, 554]]"
000190.jpg,"[800, 600, 3]","[11, 11, 11, 11, 11, 1, 1, 1, 1, 1, 1, 1, 1]","[[682, 315, 800, 437], [376, 346, 517, 413], [226, 339, 270, 442], [82, 336, 243, 493], [2, 334, 88, 501], [502, 386, 520, 430], [445, 387, 454, 429], [437, 392, 445, 411], [410, 387, 424, 432], [395, 390, 410, 429], [330, 392, 342, 432], [299, 389, 314, 443], [285, 392, 296, 437]]"
000191.jpg,"[600, 901, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[52, 326, 265, 899], [553, 400, 600, 771], [542, 454, 559, 506], [528, 449, 542, 490], [510, 452, 526, 477], [422, 441, 440, 492], [404, 440, 418, 488], [368, 440, 393, 533], [341, 447, 355, 485], [324, 429, 337, 454], [301, 441, 339, 532], [252, 441, 279, 528], [222, 423, 238, 450], [404, 420, 569, 789]]"
000192.jpg,"[800, 600, 3]","[1, 16]","[[186, 102, 570, 600], [3, 339, 78, 600]]"
000193.jpg,"[800, 600, 3]","[1, 1, 19]","[[128, 6, 800, 600], [2, 46, 363, 600], [3, 200, 800, 600]]"
000194.jpg,"[857, 600, 3]","[6, 1, 1]","[[230, 96, 640, 600], [308, 51, 544, 364], [747, 206, 798, 354]]"
000195.jpg,"[800, 600, 3]",[11],"[[10, 24, 771, 597]]"
000196.jpg,"[800, 600, 3]","[16, 16, 16, 18, 16]","[[2, 322, 110, 570], [120, 258, 272, 477], [432, 240, 555, 418], [574, 147, 627, 210], [378, 245, 450, 358]]"
000197.jpg,"[800, 600, 3]",[12],"[[56, 90, 746, 414]]"
000198.jpg,"[896, 600, 3]",[14],"[[287, 240, 512, 428]]"
000199.jpg,"[912, 600, 3]",[2],"[[150, 124, 698, 492]]"
000200.jpg,"[1205, 600, 3]","[1, 1, 1, 1, 1, 15, 15]","[[67, 46, 248, 402], [39, 130, 429, 600], [354, 55, 590, 600], [547, 46, 964, 600], [942, 31, 1205, 600], [877, 511, 937, 600], [557, 349, 627, 506]]"
000201.jpg,"[872, 600, 3]","[1, 1, 1, 13, 13]","[[314, 126, 408, 216], [551, 51, 656, 162], [467, 141, 670, 433], [447, 235, 659, 548], [569, 103, 682, 234]]"
000202.jpg,"[800, 600, 3]","[15, 1]","[[667, 182, 800, 533], [2, 13, 536, 600]]"
